Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
Transitions,,2,9,9.25,9.25,9.25,9.25,9,9.75,9,9.25,9.18
Performance/Execution,,2,9.25,9.5,9,9,9,9,9.5,9,9.25,9.14
Choreography,,2,9,9.75,9.5,9.25,9.5,9.5,9.75,9.25,9.5,9.46
Interpretation,,2,9.5,9.75,9.5,9.25,9.5,9.25,10,9.5,9.5,9.5
Total,,,,,,,,,,,,93.56
Deduction,,,,,,,,,,,,0
Program total,,106.93 + 93.56 - 0.00 = 200.49,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4Lo,12,2.43,2,2,3,3,2,3,2,2,3,14.43
4S,10.5,2.71,3,2,3,3,2,3,2,3,3,13.21
FCCoSp4,3.5,0.86,1,2,2,2,1,2,2,2,1,4.36
StSq4,3.9,1.5,1,2,3,2,2,2,3,2,2,5.4
3F,5.3,1.5,2,1,2,2,3,3,2,2,2,6.8
4S+3T,16.28,2.43,2,2,3,3,1,3,2,3,2,18.71
4T,11.33,2.43,2,2,2,3,1,3,2,3,3,13.76
3A+2T,10.78,2,2,2,2,2,2,2,2,2,2,12.78
3A+1Lo+3S,14.74,2.14,3,2,3,3,1,2,2,1,2,16.88
FCSSp4,3,0.79,1,2,2,2,0,2,2,1,1,3.79
ChSq1,2,1.4,1,2,2,2,3,2,3,2,1,3.4
3Lz,6.6,1.5,1,2,2,2,3,3,2,2,2,8.1
CCoSp4,3.5,1,2,2,3,2,2,2,2,2,1,4.5
Total,103.43,22.69,,,,,,,,,,126.12
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,9.25,9.75,9.75,10,9.5,9.75,9.75,9.75,9.5,9.68
Transitions,,2,9,9.5,9.5,9.5,9.25,9.75,9.5,9.5,9.5,9.46
Performance/Execution,,2,10,10,9.75,10,9.25,10,9.75,10,9.5,9.86
Choreography,,2,10,10,9.75,9.75,9.5,9.75,9.75,9.75,9.5,9.75
Interpretation,,2,9,9.75,10,10,9.25,10,10,9.75,9.75,9.79
Total,,,,,,,,,,,,97.08
Deduction,,,,,,,,,,,,0
Program total,,126.12 + 97.08 - 0.00 = 223.20,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4Lo,12,2.14,2,2,1,1,2,3,2,3,3,14.14
4S,10.5,1.43,1,2,1,0,3,1,2,1,2,11.93
FCCoSp4,3.5,0.93,1,2,2,1,2,2,2,2,2,4.43
StSq4,3.9,1.7,2,2,3,2,2,2,3,3,3,5.6
3F,5.3,1.6,2,1,3,2,3,2,2,2,3,6.9
2S+1Lo,1.98,-0.06,0,-1,-1,0,0,1,0,-1,0,1.92
4T,11.33,1.86,1,2,1,1,3,2,2,3,2,13.19
3A+3T,14.08,2.43,2,1,2,1,3,3,3,3,3,16.51
4T+2T,12.76,1.14,0,1,1,1,1,1,2,1,2,13.9
FCSSp4,3,1,1,2,2,2,2,3,2,2,2,4
ChSq1,2,1.6,2,2,2,2,2,2,3,3,3,3.6
3A,9.35,2.43,1,2,3,0,3,2,3,3,3,11.78
CCoSp4,3.5,0.93,1,2,2,1,2,2,2,2,2,4.43
Total,93.2,19.13,,,,,,,,,,112.33
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,9.25,9.25,9.5,9.5,9.5,9.5,9.75,9.5,9.5,9.46
Transitions,,2,9.25,9,9,9.25,9.25,9.5,9.25,9.25,9.5,9.25
Performance/Execution,,2,9.25,9.25,9.5,9.5,9.25,9.75,9.75,9.75,9.75,9.54
Choreography,,2,9,9,9.25,9.75,9.5,9.5,9.75,9.75,9.5,9.46
Interpretation,,2,9.25,9.25,9.5,9.25,9.25,9.5,9.75,9.75,9.75,9.46
Total,,,,,,,,,,,,94.34
Deduction,,,,,,,,,,,,0
Program total,,112.33 + 94.34 - 0.00 = 206.67,,,,,,,,,,
Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
4Lo,12,1.14,1,2,1,1,2,1,1,1,1,13.14
4S,10.5,2.57,3,3,2,2,3,2,3,2,3,13.07
FCCoSp4,3.5,1.07,2,2,2,2,2,1,3,2,3,4.57
StSq4,3.9,1.7,2,3,2,3,3,2,2,3,2,5.6
3F,5.3,1.6,3,2,1,2,2,2,3,3,2,6.9
4S+REP,8.09,-4,-3,-3,-3,-3,-3,-3,-3,-3,-3,4.09
4T,11.33,0.26,-1,1,-1,0,1,1,0,0,1,11.59
3A+3T,14.08,1.86,2,2,2,1,2,2,2,1,2,15.94
3A+1Lo<<+2S,10.78,-1.43,-1,-1,-2,-2,-2,0,-1,-2,-1,9.35
FCSSp3,2.6,0.79,2,1,1,2,2,2,2,1,1,3.39
ChSq1,2,1.7,3,2,2,2,2,3,3,3,1,3.7
1Lz,0.66,-0.06,-1,0,-1,0,0,-1,-1,0,-1,0.6
CCoSp4,3.5,0.57,1,2,1,0,1,1,2,1,1,4.07
Total,88.24,7.77,,,,,,,,,,96.01
Program components,,Factor,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
Skating Skills,,2,9.25,9.25,9,9.25,9.5,9.5,9.5,9.5,9.25,9.36
Transitions,,2,9,9,9.25,9,9.5,9.25,9,8.75,9.25,9.11
Performance/Execution,,2,9,9.25,9.25,8.75,9.25,9.5,9,8.75,9,9.07
Choreography,,2,8.75,9.25,9.5,9,9.5,9.75,9.25,9.25,9.5,9.32
Interpretation,,2,8.75,9.25,9.5,9.25,9.5,9.75,9.5,9,9.25,9.32
Total,,,,,,,,,,,,92.36
Deduction,,,,,,,,,,,,1
Program total,,96.01 + 92.36 - 1.00 = 187.37,,,,,,,,,,
Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
4Lo,12,1.57,3,2,1,0,1,2,2,1,2,13.57
4S,10.5,2.29,3,3,2,2,2,2,2,2,3,12.79
FCCoSp4,3.5,1,3,2,2,2,2,2,1,2,2,4.5
StSq3,3.3,1,2,2,2,2,2,2,1,2,2,4.3
3F,5.3,1.4,2,2,2,1,2,1,2,3,3,6.7
4S+REP,8.09,-4,-3,-3,-3,-3,-3,-3,-3,-3,-3,4.09
4T,11.33,1.57,3,1,2,1,1,2,-1,2,2,12.9
3A+3T,14.08,2,2,2,2,2,1,2,2,2,2,16.08
3A+1Lo+2S,11.33,1,1,1,1,0,2,1,1,1,1,12.33
FCSSp3,2.6,0.64,2,1,2,1,2,1,0,1,1,3.24
ChSq1,2,1.3,2,2,2,1,2,2,1,2,3,3.3
3Lz,6.6,1.3,2,2,2,1,2,2,2,1,2,7.9
CCoSp4,3.5,0.86,2,2,2,0,2,2,1,1,2,4.36
Total,94.13,11.93,,,,,,,,,,106.06
Program components,,Factor,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
Skating Skills,,2,9.5,9.5,9,9.5,9.5,8.25,9.25,9.75,9.25,9.36
Transitions,,2,9.25,9,9.5,9,9,8.5,8.5,9.25,9.5,9.07
Performance/Execution,,2,9.25,9.5,9,8.75,9.75,8.75,9.25,9.5,9,9.18
Choreography,,2,9.5,9.5,9.25,9.25,9.5,8.5,8.75,9.25,9.5,9.29
Interpretation,,2,9.5,9.5,9,9,9.5,8.75,9.5,9.5,9.5,9.36
Total,,,,,,,,,,,,92.52
Deduction,,,,,,,,,,,,1
Program total,,106.06 + 92.52 - 1.00 = 197.58,,,,,,,,,,
Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
4Lo<<,5.1,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,3
4S,10.5,2,2,2,2,2,3,3,1,2,0,12.5
FCCoSp4,3.5,1,3,2,2,2,1,2,2,2,2,4.5
StSq3,3.3,0.93,2,2,2,2,2,2,2,1,1,4.23
3F,5.3,0.7,1,2,0,2,1,1,0,1,1,6
2S+3T,6.16,0.5,1,0,0,1,1,1,0,1,1,6.66
4T,11.33,0.43,1,1,0,2,0,1,0,0,0,11.76
3A+2T,10.78,1.86,2,2,2,1,2,2,1,2,2,12.64
3A+1Lo+3S,14.74,1.29,2,3,1,2,2,1,0,1,0,16.03
FCSSp4,3,0.71,1,2,1,2,1,2,1,1,2,3.71
ChSq1,2,1.5,3,3,2,2,2,2,1,2,2,3.5
3Lz,6.6,1.3,2,2,2,2,2,1,1,2,2,7.9
CCoSp4,3.5,0.36,1,1,0,1,0,2,1,0,1,3.86
Total,85.81,10.48,,,,,,,,,,96.29
Program components,,Factor,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
Skating Skills,,2,9,9,9,8.75,9,9.25,8.75,9,9,8.96
Transitions,,2,8.75,8.75,8.5,8.5,8.5,8.75,8.5,8.75,8.75,8.64
Performance/Execution,,2,9,8.75,8.5,8.5,8.75,9.25,8.25,7.75,8.75,8.64
Choreography,,2,9.25,9,9,8.75,8.75,9.25,8.75,7.75,9,8.93
Interpretation,,2,9.25,9.25,8.75,8.75,8.75,9,8.75,8.25,9,8.89
Total,,,,,,,,,,,,88.12
Deduction,,,,,,,,,,,,1
Program total,,96.29 + 88.12 - 1.00 = 183.41,,,,,,,,,,
Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,Score,,
4Lo,12,0.4,1,0,2,0,-1,0,1,12.4,,
4S,10.5,0.8,2,2,-1,0,0,1,1,11.3,,
FCCoSp4,3.5,1,1,2,3,2,2,2,2,4.5,,
StSq4,3.9,1.68,2,3,2,2,2,3,3,5.58,,
3F,5.3,-0.56,-1,0,0,-1,-1,-1,-1,4.74,,
3S+2T,6.27,0,1,0,0,-1,0,0,0,6.27,,
4T<,8.8,-4,-3,-3,-3,-3,-3,-3,-3,4.8,,
3A+2T,10.78,1.6,2,2,2,1,2,1,1,12.38,,
3A+1T+1Lo,10.34,0,1,-1,0,0,0,0,0,10.34,,
FCSSp4,3,0.7,1,2,1,2,1,2,1,3.7,,
ChSq1,2,1.26,2,1,1,2,2,2,2,3.26,,
3Lz,6.6,-2.1,-3,-3,-3,-3,-3,-3,-3,4.5,,
CCoSp4,3.5,0.4,1,1,1,0,1,2,0,3.9,,
Total,86.49,1.18,,,,,,,,87.67,,
Program components,,Factor,J1,J2,J3,J4,J5,J6,J7,Score,,
Skating Skills,,2,9.25,9.25,8.75,9.25,9,8.5,9.25,9.1,,
Transitions,,2,9,8.75,8,9.25,8.5,8,8.75,8.6,,
Performance/Execution,,2,8.75,7.25,7.5,8,8.25,8.5,9,8.2,,
Choreography,,2,8.75,9,8.75,8.5,9,8.25,9.25,8.8,,
Interpretation,,2,8.75,8.75,8.5,8.25,8.5,8.5,9.25,8.6,,
Total,,,,,,,,,,86.6,,
Deduction,,,,,,,,,,2,,
