Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
3F,5.3,1.4,2,2,2,3,2,2,2,2,2,6.7
FCCoSp3p4,3.5,1,2,2,2,2,2,2,2,2,2,4.5
StSq4,3.9,1.4,2,2,1,2,2,2,2,2,2,5.3
3Lz+2T,8.03,1.1,1,2,1,2,3,1,3,1,1,9.13
3A+2T,10.78,2.14,2,2,2,2,3,1,3,2,2,12.92
3A+1Lo+3S,14.52,2,2,2,2,2,2,2,2,2,2,16.52
3Lo,5.61,0.9,1,1,1,2,2,0,1,1,2,6.51
3Lz,6.6,0.8,1,1,1,1,2,0,2,1,1,7.4
ChSq1,2,1.3,2,2,1,2,3,1,3,2,1,3.3
FCSSp4,3,0.86,2,2,2,2,1,1,2,2,1,3.86
CCoSp3p4,3.5,1.14,2,3,2,3,2,2,3,2,2,4.64
Total,81.34,17.61,,,,,,,,,,98.95
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,9.25,9.5,9.25,9.25,9.75,8.5,9.5,9.5,9.5,9.39
Transition/Linking Footwork,,2,9,9.5,9,9,9.25,8.75,8.5,8.75,9.25,9
Performance/Execution,,2,9.25,9.5,9.5,10,9.75,8.5,9.5,9.5,9.75,9.54
Choreography/Composition,,2,9.25,9.75,9.25,9.75,9.5,8.75,9.25,9,9.5,9.36
Interpretation,,2,9,9.75,9.25,9.5,10,8.75,9.5,9.25,9.5,9.39
Total,,,,,,,,,,,,93.36
Deduction,,,,,,,,,,,,0
Program total,,98.95 + 93.36 - 0.00 = 192.31,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
2S,1.3,0.03,0,1,0,0,0,0,1,0,0,1.33
4T,10.3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,7.3
3F,5.3,-0.1,0,0,0,-1,0,-1,0,1,0,5.2
FCCoSp3p4,3.5,0.86,2,2,1,2,2,1,2,2,1,4.36
StSq4,3.9,1.4,2,2,0,2,2,2,2,2,2,5.3
3Lz+2T,8.03,0.7,1,1,1,1,2,1,1,1,1,8.73
3A+3T,13.86,1.57,2,2,1,2,2,1,1,2,1,15.43
3A+1Lo+3S,14.52,1.29,2,1,0,2,1,1,1,2,1,15.81
3Lo,5.61,0.5,2,0,1,1,1,0,1,1,0,6.11
3Lz,6.6,0.9,1,1,1,2,2,1,1,2,1,7.5
ChSq1,2,1.1,1,2,1,3,1,2,1,2,2,3.1
FCSSp4,3,0.71,2,2,0,1,2,2,1,2,0,3.71
CCoSp3p4,3.5,0.86,2,2,1,2,2,1,2,2,1,4.36
Total,81.42,6.82,,,,,,,,,,88.24
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,8.75,9,8.75,8.75,9.25,9,8.5,9.25,9,8.93
Transition/Linking Footwork,,2,8.5,8.75,8.5,8.25,9,9,8,9,9,8.71
Performance/Execution,,2,8.5,8.75,8.75,8.5,9,8.75,8.75,8.75,8.5,8.68
Choreography/Composition,,2,8.75,9.25,8.75,9.25,9.25,9,8.5,9.25,9,9.04
Interpretation,,2,8.5,9.25,8.75,9,9,9,8.5,9.25,9.5,8.96
Total,,,,,,,,,,,,88.64
Deduction,,,,,,,,,,,,1
Program total,,88.24 + 88.64 - 1.00 = 175.88,,,,,,,,,,
Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,Score,,
4S,10.5,-3,-3,-3,-3,-3,-3,-3,-3,7.5,,
4T,10.3,2.6,3,2,3,2,2,3,3,12.9,,
3F,5.3,0.7,1,1,1,1,1,1,1,6,,
FCCoSp3p3,3,0.04,0,-1,0,-1,1,2,0,3.04,,
StSq4,3.9,1.26,1,1,2,2,2,2,2,5.16,,
3Lz+2T,8.03,1.54,3,2,2,2,2,3,2,9.57,,
3A+3T,13.86,2,2,2,3,2,2,2,2,15.86,,
3A+1Lo+3S,14.52,1.6,2,1,1,2,2,2,1,16.12,,
3Lo,5.61,0.98,2,0,1,2,2,1,1,6.59,,
3Lz,6.6,1.26,2,1,1,2,2,2,2,7.86,,
ChSq1,2,1.4,1,3,2,2,2,2,2,3.4,,
FCSSp4,3,0.6,1,2,1,1,2,1,1,3.6,,
CCoSp3p4,3.5,0.8,2,2,1,2,2,1,1,4.3,,
Total,90.12,11.78,,,,,,,,101.9,,
Program components,,Factor,J1,J2,J3,J4,J5,J6,J7,Score,,
Skating Skills,,2,9,9.25,8.75,9.25,9.25,9.25,9.75,9.2,,
Transition/Linking Footwork/Movement,,2,8.5,8.75,8.75,9,9.5,8.75,9,8.85,,
Performance/Execution,,2,8.75,9.25,9.25,9.25,9.5,9.25,9.25,9.25,,
Choreography/Composition,,2,9,9.5,9.25,9.5,9,9,9.5,9.25,,
Interpretation,,2,9,9.25,8.75,9.5,9.25,9.25,9.75,9.25,,
Total,,,,,,,,,,91.6,,
Deduction,,,,,,,,,,1,,
Program total,,101.90 + 91.60 - 1.00 = 192.50,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4S,10.5,2.43,3,3,3,2,2,3,2,2,2,12.93
4T,10.3,2.71,3,3,3,3,2,3,2,3,2,13.01
3F,5.3,1.2,1,2,2,2,1,2,2,2,1,6.5
FCCoSp3p4,3.5,0.71,0,2,2,1,1,1,2,1,2,4.21
StSq3,3.3,0.93,2,2,2,2,2,3,1,2,1,4.23
3Lz+2T,8.03,1,1,2,2,1,1,1,1,2,2,9.03
3A+3T,13.86,2.29,2,3,2,2,2,2,2,3,3,16.15
3A+1Lo+3S,14.52,2.14,2,3,2,3,1,1,2,3,2,16.66
3Lo,5.61,0.9,1,2,1,1,1,0,2,2,1,6.51
3Lz<,4.62,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,2.52
ChSq1,2,1.4,1,2,2,2,2,2,2,2,2,3.4
FCSSp4,3,0.79,1,1,2,2,2,2,1,1,2,3.79
CCoSp3p4,3.5,0.86,1,2,2,2,2,2,1,1,2,4.36
Total,88.04,15.26,,,,,,,,,,103.3
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,9.5,8.5,9.75,9.25,9.5,9.25,8.75,9.5,9.25,9.29
Transition/Linking Footwork,,2,8.5,7.75,9.5,8.75,8.75,9.25,8.5,9.25,8.75,8.82
Performance/Execution,,2,9.5,9,9.75,9.25,9.75,9,8.75,9.75,9.5,9.39
Choreography/Composition,,2,8.75,9,9.75,9.25,9.25,9.75,8.5,9.5,8.75,9.18
Interpretation,,2,8.75,8.75,9.5,9,9.5,9.5,8.5,9.5,9.5,9.21
Total,,,,,,,,,,,,91.78
Deduction,,,,,,,,,,,,1
Program total,,103.30 + 91.78 - 1.00 = 194.08,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
2S,1.3,-0.06,-1,0,0,0,0,0,-1,0,-1,1.24
3T,4.1,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,2
3F,5.3,0.7,1,1,2,1,1,1,1,1,1,6
FCCoSp3p3,3,0.5,1,1,1,0,1,1,1,1,1,3.5
StSq3,3.3,0.93,1,2,2,2,2,2,1,2,2,4.23
3Lz+2T,8.03,0.9,1,1,2,1,1,1,1,2,2,8.93
3A+3T,13.86,1.86,1,2,3,1,2,2,2,2,2,15.72
1A+1Lo+3S,6.38,0,1,0,0,0,0,0,0,0,0,6.38
3Lo,5.61,0.5,1,0,2,1,1,1,0,1,0,6.11
3Lz,6.6,-0.4,-1,0,-1,0,0,-1,0,-1,-1,6.2
ChSq1,2,1,1,1,1,1,2,2,0,2,2,3
FCSSp4,3,0.5,1,1,1,1,1,1,1,1,1,3.5
CCoSp3p3,3,0.5,1,1,2,1,1,0,1,1,1,3.5
Total,65.48,4.83,,,,,,,,,,70.31
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,8.25,8.25,8.25,8.5,8.75,8.75,8.25,8.5,8.75,8.46
Transition/Linking Footwork,,2,8,8,8.25,8,8.5,8.5,8.25,8,8.5,8.21
Performance/Execution,,2,7.75,7.75,7.5,8.25,8.25,8,8.25,8,8,8
Choreography/Composition,,2,8,8,8,8.25,8.75,8.75,8.5,8.75,8.5,8.39
Interpretation,,2,7.5,8,7.5,8.25,8.5,8.25,8.25,8.5,8.5,8.18
Total,,,,,,,,,,,,82.48
Deduction,,,,,,,,,,,,1
Program total,,70.31 + 82.48 - 1.00 = 151.79,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4S,10.5,-2.86,-2,-3,-3,-3,-3,-3,-3,-3,-2,7.64
4T,10.3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,7.3
3F,5.3,1,1,1,1,2,2,1,2,1,2,6.3
FCCoSp2p2,1.8,0.43,1,1,1,0,1,0,1,1,1,2.23
StSq3,3.3,0.93,1,2,2,2,2,1,2,2,2,4.23
3Lz+2T,8.03,1.2,2,2,1,2,2,1,2,1,2,9.23
3A,9.35,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,6.35
3A+1Lo+3S,14.52,1.71,2,2,1,2,2,1,2,1,2,16.23
3Lo<,3.96,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,1.86
3Lz,6.6,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,4.5
ChSq1,2,0.5,0,1,1,2,1,0,0,1,1,2.5
FCSSp4,3,0.71,1,2,2,1,2,0,2,1,1,3.71
CCoSp3p3,3,0.5,1,1,1,1,1,0,1,1,1,3.5
Total,81.66,-6.08,,,,,,,,,,75.58
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,8.75,8.5,8.25,8,8.5,9,8.25,8.75,8.25,8.46
Transition/Linking Footwork,,2,8.25,8.25,8.5,8.5,7.75,8.75,7.75,8.25,8.5,8.29
Performance/Execution,,2,7.75,8.5,7.5,7.5,7.75,8.75,7,8.75,8.5,8.04
Choreography/Composition,,2,8.25,9,8.75,8.5,8.75,9,7.75,8.5,9,8.68
Interpretation,,2,8.5,9,8.25,8.25,8.5,9.25,7.5,8.75,8.5,8.54
Total,,,,,,,,,,,,84.02
Deduction,,,,,,,,,,,,5
Program total,,75.58 + 84.02 - 5.00 = 154.60,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4S,10.5,0,-1,1,-1,0,0,0,0,1,0,10.5
4T,10.3,2,2,2,2,2,2,0,2,3,2,12.3
3Fe,5.3,-0.3,-1,-1,-2,0,0,-1,1,0,0,5
StSq4,3.9,0.8,1,1,0,1,2,1,1,2,1,4.7
FCCoSp4,3.5,1.07,3,2,1,2,2,2,2,3,2,4.57
3A+3T,13.86,0.71,0,1,0,0,1,-1,2,1,2,14.57
3A+2T,10.78,1.57,1,2,1,1,2,0,3,2,2,12.35
3Lo,5.61,0.9,1,1,1,1,1,1,2,2,2,6.51
3Lz+1Lo+3S,11.77,-0.2,1,-1,0,-1,-1,-1,0,1,0,11.57
3Lz,6.6,0.5,0,1,0,1,1,0,2,1,1,7.1
ChSq1,2,1.4,1,2,1,2,2,2,3,3,2,3.4
FCSSp4,3,0.86,2,2,0,2,2,1,2,2,1,3.86
CCoSp3,3,0.5,1,1,1,2,1,1,1,1,1,3.5
Total,90.12,9.81,,,,,,,,,,99.93
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,9.5,9,8.75,9.25,9.25,9,9.5,9.5,9.25,9.25
Transition/Linking Footwork,,2,9,9,8.5,9,9,8.5,9.5,9.25,8.75,8.93
Performance/Execution,,2,9.25,8.5,8.75,9.5,9.5,9,10,9.5,9,9.21
Choreography/Composition,,2,9.25,9,8.75,9,9.25,9,10,9.25,9,9.11
Interpretation,,2,9.5,8,8.75,9.25,9.5,9,9.75,9.25,9.25,9.21
Total,,,,,,,,,,,,91.42
Deduction,,,,,,,,,,,,0
Program total,,99.93 + 91.42 - 0.00 = 191.35,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4S,10.5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,7.5
4T,10.3,2.14,2,2,3,2,2,3,2,2,2,12.44
3F,5.3,-1.9,-2,-3,-3,-2,-2,-3,-3,-3,-3,3.4
StSq3,3.3,1,2,2,2,2,2,3,2,2,2,4.3
FCCoSp4,3.5,1,2,2,2,2,2,3,2,2,2,4.5
3A+3T,13.86,2.43,2,3,2,3,2,3,3,2,2,16.29
3A+2T,10.78,0.29,0,0,0,0,1,1,1,-1,0,11.07
3Lo,5.61,0.3,1,0,1,1,0,2,0,0,0,5.91
3Lz+1Lo+SEQ,5.72,-0.3,0,-1,1,-1,-1,-1,0,0,0,5.42
3Lz,6.6,1.2,2,1,2,2,1,2,2,1,2,7.8
ChSq1,2,1.6,2,2,2,2,3,3,2,2,3,3.6
FCSSp4,3,0.79,1,2,1,1,2,3,1,2,2,3.79
CCoSp3,3,0.64,1,1,2,1,1,2,2,1,0,3.64
Total,83.47,6.19,,,,,,,,,,89.66
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,9,9,9.25,9.25,9.25,8.75,9,8.75,9.5,9.07
Transition/Linking Footwork/Movement,,2,9.25,8.5,9,9,8.75,8.75,9,9,9.25,8.96
Performance/Execution,,2,8.75,8.5,9,8.75,9,9.25,9.25,8.75,8.75,8.89
Choreography/Composition,,2,9,9.5,9,9,9.25,9.5,9.25,9.25,9.25,9.21
Interpretation,,2,8.5,9.5,9.25,9.25,9.5,9.25,9.25,9.5,9.5,9.36
Total,,,,,,,,,,,,90.98
Deduction,,,,,,,,,,,,2
Program total,,89.66 + 90.98 - 2.00 = 178.64,,,,,,,,,,
Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,Score,,
4S,10.5,-3,-2,-3,-3,-3,-3,-3,-3,7.5,,
4T,10.3,1.4,3,0,1,2,1,1,2,11.7,,
3Fe,5.3,0.42,2,-1,0,1,0,1,1,5.72,,
StSq3,3.3,1,2,2,2,2,2,2,2,4.3,,
FCCoSp3,3,1,2,2,2,2,2,2,2,4,,
3A+3T,13.86,2.8,3,3,3,2,3,3,2,16.66,,
3A+2T,10.78,2.8,3,3,2,3,3,3,2,13.58,,
3Lo,5.61,1.12,2,1,1,1,2,2,2,6.73,,
3Lz+1Lo+3S,11.77,1.4,2,2,2,3,2,2,2,13.17,,
3Lz,6.6,0.56,1,-1,1,1,0,1,2,7.16,,
ChSq1,2,1.68,2,2,2,3,3,3,2,3.68,,
FCSSp4,3,1,2,2,1,2,2,2,2,4,,
CCoSp2,2.5,0.9,2,1,1,2,2,3,2,3.4,,
Total,88.52,13.08,,,,,,,,101.6,,
Program components,,Factor,J1,J2,J3,J4,J5,J6,J7,Score,,
Skating Skills,,2,9.5,9.25,9.5,9.25,9.5,9.25,8.75,9.35,,
Transition/Linking Footwork/Movement,,2,9.25,9,8.75,9.25,9.5,8.75,9,9.05,,
Performance/Execution,,2,9.75,9.25,9.25,9.75,9.5,9.5,9.5,9.5,,
Choreography/Composition,,2,9.75,9.5,9.5,9.5,9.75,9.25,9.5,9.55,,
Interpretation,,2,9.75,9.25,9.75,9.5,9.75,9.5,9.5,9.6,,
Total,,,,,,,,,,94.1,,
Deduction,,,,,,,,,,1,,
Program total,,101.60 + 94.10 - 1.00 = 194.70,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4S,10.5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,7.5
4T,10.3,2.29,3,3,3,2,2,2,2,2,2,12.59
3F,5.3,1.4,2,2,2,2,2,2,2,2,3,6.7
StSq3,3.3,1,2,2,2,2,2,2,2,3,1,4.3
FCCoSp4,3.5,1,2,2,2,2,2,2,2,3,1,4.5
3A+3T,13.86,2.57,2,3,3,2,2,2,3,3,3,16.43
3A+2T,10.78,2.14,2,2,2,2,2,1,3,3,2,12.92
3Lo,5.61,1,2,2,1,1,1,2,0,2,1,6.61
3Lz+1Lo+3S,11.77,0.9,1,2,2,1,1,1,1,2,0,12.67
3Lz,6.6,1.3,1,2,2,1,2,2,2,2,2,7.9
ChSq1,2,1.7,3,2,2,3,3,2,3,2,1,3.7
FCSSp4,3,1,1,2,2,2,2,2,2,2,2,4
CCoSp1,2,0.21,0,1,0,0,1,1,0,0,1,2.21
Total,88.52,13.51,,,,,,,,,,102.03
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,9,9.25,8.75,9.25,9.25,9.5,9,9.25,8.75,9.11
Transition/Linking Footwork,,2,8.75,9,8.5,9,9,9.25,9,9.25,9,9
Performance/Execution,,2,9.25,9.5,9.25,8.75,9.25,9.5,9.5,9.5,8.75,9.29
Choreography/Composition,,2,9,9.25,9,9.5,9.5,9.75,9.5,9.5,9.75,9.43
Interpretation,,2,9,9.25,8.75,9.5,9.5,9.5,9.5,9.5,9.25,9.36
Total,,,,,,,,,,,,92.38
Deduction,,,,,,,,,,,,1
Program total,,102.03 + 92.38 - 1.00 = 193.41,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
1S,0.4,-0.23,-2,-1,-2,-2,-2,-3,-3,-2,-3,0.17
4T,10.3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,7.3
3Fe,5.3,0,0,0,0,0,0,0,0,0,-1,5.3
StSq3,3.3,0.5,1,0,1,2,1,1,1,1,1,3.8
FCCoSp4,3.5,0.57,2,1,1,1,2,1,1,1,1,4.07
3A+3T,13.86,2,2,2,2,3,2,1,2,2,2,15.86
3A+2T,10.78,2,2,2,2,0,2,2,2,2,2,12.78
3Lo,5.61,0.7,1,1,1,1,1,1,1,1,1,6.31
3Lz+1Lo+3S,11.77,0.7,1,0,1,1,1,2,1,1,1,12.47
3Lz,6.6,1,2,1,1,2,2,1,1,1,2,7.6
ChSq1,2,1.4,3,2,2,2,2,2,2,2,2,3.4
FCSSp4,3,0.93,3,2,1,1,2,2,2,2,2,3.93
CCoSp4,3.5,0.79,2,2,1,1,2,2,1,2,1,4.29
Total,79.92,7.36,,,,,,,,,,87.28
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,8,8.5,8.25,8.5,8.5,8.5,8.5,8.25,8.25,8.39
Transition/Linking Footwork,,2,7.5,8,8,7.75,7.75,7.75,8,7.75,7.75,7.82
Performance/Execution,,2,7.75,8.5,8.25,8.25,8,8,8.5,8,7.5,8.11
Choreography/Composition,,2,8.25,8.25,8.75,8.25,8.25,8.25,8.5,8.25,8,8.29
Interpretation,,2,7.75,8.5,8.5,8.25,8.5,8.75,8.5,8.5,7.75,8.36
Total,,,,,,,,,,,,81.94
Deduction,,,,,,,,,,,,1
Program total,,87.28 + 81.94 - 1.00 = 168.22,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4S,10.5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,7.5
4T,10.3,-0.71,-1,-1,0,-1,0,-1,-1,0,-1,9.59
3F,5.3,0.5,1,1,1,0,0,0,1,1,1,5.8
StSq3,3.3,0.57,2,1,1,1,1,1,2,1,1,3.87
FCCoSp4,3.5,0.57,2,0,1,2,1,1,1,1,1,4.07
1A+1T,1.65,-0.23,-1,-2,-1,-1,-1,-1,-1,-2,-1,1.42
3A+2T,10.78,0.57,0,0,0,1,0,1,1,1,2,11.35
3Lo,5.61,0.5,1,0,1,1,1,1,0,0,1,6.11
3Lz+1Lo+3S<,10.34,-0.6,-1,-1,-1,0,-1,-1,0,-1,-1,9.74
3Lz,6.6,0.8,1,0,1,1,1,1,2,1,2,7.4
ChSq1,2,1.4,3,1,2,2,2,2,3,1,2,3.4
FCSSp4,3,0.93,2,1,1,2,2,2,2,2,2,3.93
CCoSp4,3.5,0.86,1,2,2,2,1,2,2,1,3,4.36
Total,76.38,2.16,,,,,,,,,,78.54
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,8.75,7.5,8,7.5,8.25,8,8,8.25,8,8
Transition/Linking Footwork,,2,7.5,7.25,7.25,7.25,8,7.75,7.5,7.5,7.5,7.46
Performance/Execution,,2,8.25,7.5,7.5,7.5,8,7.5,7.75,7.25,7.5,7.61
Choreography/Composition,,2,7.5,7.5,7.75,7.75,8,8,8.5,7.5,7.75,7.75
Interpretation,,2,7,7.75,7.25,7.75,8.25,7.5,8.75,7.25,7.5,7.61
Total,,,,,,,,,,,,76.86
Deduction,,,,,,,,,,,,1
Program total,,78.54 + 76.86 - 1.00 = 154.40,,,,,,,,,,
Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,J8,Score,
4S,10.5,1.5,0,1,2,2,1,2,2,1,12,
4T,10.3,1.67,2,1,1,2,2,2,2,1,11.97,
3Fe,5.3,-0.58,-1,-1,-1,0,0,-1,-1,-1,4.72,
StSq3,3.3,0.58,1,2,1,2,1,1,1,1,3.88,
FCCoSp4,3.5,0.75,2,1,1,2,2,2,1,1,4.25,
3A,9.35,-1,-1,-1,-1,-1,0,-1,-1,-1,8.35,
3A+2T,10.78,1.83,2,1,1,2,2,2,2,2,12.61,
3Lo+2T,7.04,0.35,1,0,0,1,1,1,0,0,7.39,
3Lz+1Lo+3S,11.77,0.7,1,1,1,1,1,2,1,1,12.47,
3Lz,6.6,-1.05,-1,-2,-2,-1,-1,-1,-2,-2,5.55,
ChSq1,2,1.63,3,3,1,2,2,2,2,3,3.63,
FCSSp4,3,0.92,2,2,1,2,1,2,2,2,3.92,
CCoSp2,2.5,0.67,2,1,1,2,2,1,1,1,3.17,
Total,85.94,7.97,,,,,,,,,93.91,
Program components,,Factor,J1,J2,J3,J4,J5,J6,J7,J8,Score,
Skating Skills,,2,9.25,8.5,8.75,9.5,8.75,8.75,8.25,8.25,8.71,
Transition/Linking Footwork/Movement,,2,9,8,8.5,9,8.5,8.5,8.25,8,8.46,
Performance/Execution,,2,9,8.5,8.75,9.5,9,8.75,8.25,8.5,8.75,
Choreography/Composition,,2,9.25,8.5,8.5,9.25,8.75,8.75,8,8.5,8.71,
Interpretation,,2,9.5,8.5,8.75,9.25,9,9,8.5,8.75,8.88,
Total,,,,,,,,,,,87.02,
Deduction,,,,,,,,,,,0,
Program total,,93.91 + 87.02 - 0.00 = 180.93,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4T,10.3,0.57,1,0,1,0,0,0,1,1,1,10.87
4S<,7.4,-1.86,-2,-1,-2,-2,-2,-1,-2,-3,-2,5.54
3Fe,5.3,-0.6,-1,-1,-2,-1,0,-1,0,-2,0,4.7
FCCoSp3,3,0.57,2,1,0,2,1,1,1,1,1,3.57
StSq3,3.3,0.57,1,1,1,1,2,1,1,1,2,3.87
3A+3T,13.86,1.14,1,0,3,1,3,0,1,0,2,15
3A+2T,10.78,1.14,2,1,1,1,2,1,1,1,1,11.92
3Lo,5.61,0.6,1,1,2,0,1,0,0,1,2,6.21
3Lz+2T+2T,9.46,0.4,1,0,1,0,1,0,1,0,1,9.86
3Lz,6.6,0.7,2,1,1,0,1,0,1,1,2,7.3
ChSq1,2,1,2,2,1,0,2,1,1,2,1,3
CCoSp3,3,0.5,1,1,1,1,1,0,1,1,1,3.5
FCSSp4,3,0.71,2,1,2,1,1,1,2,1,2,3.71
Total,83.61,5.44,,,,,,,,,,89.05
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,8.75,8.25,8.5,7.5,8.75,7.5,8.25,8.5,8,8.25
Transition/Linking Footwork,,2,8.5,7.75,7.5,7.25,8.5,7.25,7.5,8.25,7.5,7.75
Performance/Execution,,2,8,7.5,8,7,9.5,7.5,8,8.25,7.75,7.86
Choreography/Composition,,2,9,7.75,8.75,7.75,9,7.5,7.75,8.5,7.5,8.14
Interpretation,,2,8.5,8,7.5,7.75,9.25,7.5,8,8.5,7.75,8
Total,,,,,,,,,,,,80
Deduction,,,,,,,,,,,,0
Program total,,89.05 + 80.00 - 0.00 = 169.05,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4T,10.3,2.14,2,2,2,1,3,2,2,3,2,12.44
2S,1.3,0,0,0,-1,0,0,0,0,0,0,1.3
3Fe,5.3,-0.4,0,-1,0,-1,0,-1,-1,0,-1,4.9
FCCoSp4,3.5,0.71,1,2,1,1,2,2,1,1,2,4.21
StSq3,3.3,0.79,1,1,1,1,2,2,2,2,2,4.09
3A+2T,10.78,-0.14,0,-1,0,-1,1,0,0,0,0,10.64
3A+2T+2T,12.21,0.57,1,2,0,0,1,0,0,1,1,12.78
3Lo,5.61,0.4,1,1,0,0,1,1,0,1,0,6.01
3Lz+2T,8.03,0.6,1,1,0,0,1,1,1,2,1,8.63
1Lz,0.66,-0.04,0,-1,-1,0,0,0,-1,0,-1,0.62
ChSq1,2,1.4,1,2,2,0,2,2,2,3,3,3.4
CCoSp4,3.5,0.57,1,1,1,0,1,2,1,1,2,4.07
FCSSp4,3,0.86,1,2,1,0,2,2,2,2,2,3.86
Total,69.49,7.46,,,,,,,,,,76.95
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,8.25,8,8.5,8.5,8.25,8.25,8.5,8.75,8.5,8.39
Transition/Linking Footwork,,2,8,7.25,7.75,8,8.25,8.5,8,8.5,8,8.07
Performance/Execution,,2,8,7.5,7.5,8.5,8,8.25,7.5,8.75,8.25,8
Choreography/Composition,,2,8,7.5,7.75,8.75,8.5,8.25,8.25,9.25,8.5,8.29
Interpretation,,2,8,7.25,8,8.5,8.25,8.25,7.75,9,8.25,8.14
Total,,,,,,,,,,,,81.78
Deduction,,,,,,,,,,,,0
Program total,,76.95 + 81.78 - 0.00 = 158.73,,,,,,,,,,
Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,Score,,
4T,10.3,0,0,0,1,0,-2,0,0,10.3,,
4S,10.5,-1.8,-2,-2,-2,-1,-2,-1,-2,8.7,,
3Fe,5.3,0.28,1,0,1,0,0,-1,1,5.58,,
FCCoSp4,3.5,1.1,2,1,3,2,2,2,3,4.6,,
StSq3,3.3,0.9,1,1,3,2,2,2,2,4.2,,
3A+3T,13.86,2.2,1,2,2,2,2,3,3,16.06,,
3A+2T,10.78,2,2,1,3,3,1,2,2,12.78,,
3Lo,5.61,1.12,0,1,2,1,2,2,2,6.73,,
3Lz+2T+2T,9.46,0.7,0,1,1,1,1,1,1,10.16,,
3Lz,6.6,0.98,1,-1,2,2,1,2,1,7.58,,
ChSq1,2,1.26,1,1,3,2,2,2,2,3.26,,
CCoSp3,3,0.9,2,1,2,2,2,1,2,3.9,,
FCSSp4,3,1,1,2,2,2,2,2,2,4,,
Total,87.21,10.64,,,,,,,,97.85,,
Program components,,Factor,J1,J2,J3,J4,J5,J6,J7,Score,,
Skating Skills,,2,9.25,8.75,9,9.5,9,9.25,9,9.1,,
Transition/Linking Footwork/Movement,,2,8.75,8.5,8.75,9.25,8.5,9,8.5,8.7,,
Performance/Execution,,2,8.75,8.5,9.5,9.5,8.75,9,8.75,8.95,,
Choreography/Composition,,2,9,9,9.25,9.5,8.75,9.25,9,9.1,,
Interpretation,,2,8.75,9,9,9.25,8.75,9.25,9,9,,
Total,,,,,,,,,,89.7,,
Deduction,,,,,,,,,,0,,
Program total,,97.85 + 89.70 - 0.00 = 187.55,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4T,10.3,2.71,3,3,2,3,3,2,3,2,3,13.01
2S,1.3,0.23,2,2,2,1,0,1,1,0,1,1.53
3Fe,5.3,-0.2,0,-1,1,0,0,-1,-1,0,0,5.1
FCCoSp4,3.5,0.79,1,1,2,1,2,2,2,1,2,4.29
StSq3,3.3,0.71,2,2,1,2,2,1,1,1,1,4.01
